320,18,2203,130,0.7,0.83,1,17,1,100
1118,24,2188,70,0.13,,0,16,0,101
1411,32,2613,104,0.08,0.07,0,10,1,102
306,82,978,121,0.14,,0,21,0,103
790,49,1581,53,0.04,0.17,0,26,1,104
1190,6,2624,92,0.03,0.02,0,29,1,105
107,4,640,119,0.08,0.57,1,12,0,106
86,90+2,2414,125,0.07,,0,10,0,107
1434,73,920,108,0.05,0.31,1,25,1,108
2143,69,2224,18,0.14,,0,10,2,109
570,90+4,1454,76,0.13,,0,12,1,110
1346,23,194,98,0.03,0.08,0,26,0,111
73,83,1859,112,0.12,,0,6,2,112
762,8,727,65,0.1,0.12,0,12,1,113
673,28,1620,87,0.18,,0,4,1,114
2754,11,978,121,0.05,,0,22,0,115
723,61,2130,90,0.09,0.07,0,4,2,116
991,68,2702,65,0.29,0.2,0,7,2,117
662,15,2499,81,0.08,,0,14,1,118
466,81,265,86,0.04,0.03,0,32,1,119
526,26,1947,80,0.1,0.45,0,10,0,120
38,45+1,2338,111,0.15,0.04,0,12,0,121
826,57,873,52,0.07,0.06,0,10,1,122
1172,81,2217,109,0.03,,0,15,1,123
1263,75,850,109,0.03,0.06,0,28,1,124
1414,58,2380,101,0.05,,0,16,0,125
2144,30,1588,11,0.42,0.68,1,7,0,126
53,62,590,127,0.06,,0,13,0,127
1486,72,2313,107,0.06,0.11,0,24,0,128
2430,90+2,1976,8,0.11,0.91,1,10,1,129
806,80,959,52,0.16,,0,13,1,130
3048,90,2317,16,0.08,0.67,1,12,0,131
1278,22,2464,102,0.02,,0,34,1,132
76,45+4,1943,113,0.01,,0,32,1,133
317,42,2611,122,0.1,,0,18,0,134
1712,72,1330,3,0.03,,0,22,0,135
124,27,84,117,0.08,,0,12,2,136
612,77,922,84,0.03,,0,24,1,137
1736,75,131,2,0.11,,0,13,0,138
1728,54,98,14,0.02,,0,24,1,139
2665,54,1320,16,0.14,,0,10,2,140
1489,19,1025,104,0.2,,0,12,1,141
1218,46,594,93,0.09,0.02,0,12,2,142
1119,6,250,65,0.02,0.19,0,31,1,143
